;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10;Topic 11;Topic 12;Topic 13;Topic 14;Topic 15;Topic 16;Topic 17;Topic 18;Topic 19;Topic 20;Topic 21;Topic 22;Topic 23;Topic 24;Topic 25;Topic 26;Topic 27;Topic 28;Topic 29;Topic 30;Topic 31;Topic 32;Topic 33;Topic 34;Topic 35;Topic 36;Topic 37;Topic 38;Topic 39;Topic 40;Topic 41;Topic 42;Topic 43;Topic 44;Topic 45;Topic 46;Topic 47;Topic 48;Topic 49;Topic 50;Topic 51;Topic 52;Topic 53;Topic 54;Topic 55;Topic 56;Topic 57;Topic 58;Topic 59;Topic 60;Topic 61;Topic 62;Topic 63;Topic 64;Topic 65;Topic 66;Topic 67;Topic 68;Topic 69;Topic 70;Topic 71;Topic 72;Topic 73;Topic 74;Topic 75;Topic 76;Topic 77;Topic 78;Topic 79;Topic 80;Topic 81;Topic 82;Topic 83
comprise;1,05%;1,62%;1,73%;0,27%;1,90%;1,80%;0,81%;1,26%;1,99%;0,73%;1,09%;1,47%;2,38%;3,45%;1,59%;1,49%;0,72%;0,66%;0,32%;1,94%;0,83%;0,75%;0,81%;0,61%;1,70%;0,60%;3,65%;0,90%;1,81%;1,56%;1,18%;1,35%;0,96%;1,45%;1,16%;0,27%;1,29%;1,47%;1,16%;0,90%;2,66%;1,59%;2,33%;0,76%;1,26%;1,84%;1,02%;0,65%;0,99%;0,51%;0,61%;1,66%;3,86%;0,86%;1,14%;2,04%;3,19%;1,34%;0,47%;0,85%;0,83%;1,37%;0,82%;1,28%;0,54%;1,06%;0,86%;1,48%;0,54%;0,81%;0,69%;2,57%;0,88%;0,59%;1,77%;1,79%;1,14%;1,61%;1,39%;2,40%;0,58%;1,69%;0,88%
control;0,00%;0,14%;3,62%;0,02%;0,84%;3,55%;0,37%;0,00%;0,25%;2,12%;0,03%;1,24%;0,00%;4,97%;0,44%;0,08%;8,85%;1,59%;0,00%;0,95%;0,44%;0,21%;0,37%;0,04%;0,15%;0,87%;4,41%;0,87%;0,32%;0,48%;0,00%;0,00%;3,26%;0,36%;0,04%;0,00%;0,01%;0,30%;0,00%;0,00%;4,81%;0,00%;0,30%;0,00%;1,68%;4,64%;1,57%;0,00%;0,05%;0,00%;0,01%;0,84%;0,60%;0,01%;0,38%;0,44%;3,27%;3,92%;0,02%;0,00%;0,17%;0,03%;0,00%;3,46%;0,00%;0,78%;0,03%;3,00%;0,00%;0,00%;0,00%;0,23%;2,56%;0,04%;0,22%;0,92%;1,06%;0,00%;0,07%;0,18%;5,52%;4,80%;0,00%
sungear;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,27%;0,00%;0,00%;0,15%;0,00%;0,00%;0,00%;0,52%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;1,21%;0,00%;0,02%;0,33%;0,00%;0,00%;0,08%;3,54%;0,01%;0,00%;0,00%;0,00%;0,00%;2,34%;0,00%;2,53%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,00%;0,00%;0,00%;1,81%;0,00%;0,00%;0,00%;0,00%;0,00%;7,30%;0,99%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,63%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,96%;0,00%;0,00%;0,00%
valve;0,00%;0,00%;0,00%;0,00%;6,24%;0,00%;0,00%;0,00%;2,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,50%;0,00%;0,08%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,12%;0,00%;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,49%;0,00%;0,00%;0,00%;0,39%;1,34%;0,00%;0,00%;0,00%;0,00%;0,00%;11,27%;0,00%;0,15%;0,04%;0,12%;0,00%;0,00%;0,00%;0,00%;13,35%;1,62%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;11,64%;0,00%;0,00%
ratio;0,10%;0,00%;10,76%;0,00%;0,79%;0,00%;0,10%;0,02%;0,19%;0,22%;0,00%;0,01%;0,00%;0,00%;0,00%;0,08%;0,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,00%;0,25%;0,00%;0,00%;0,12%;0,02%;2,01%;0,00%;0,33%;0,07%;0,01%;0,50%;0,00%;2,89%;0,01%;0,00%;0,13%;2,70%;0,03%;1,72%;0,00%;0,00%;0,63%;0,00%;0,00%;0,68%;0,00%;0,00%;0,06%;3,21%;0,00%;0,23%;0,03%;1,53%;0,00%;0,37%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,11%;1,07%;0,00%;0,06%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,30%;0,00%;0,01%;0,00%;1,87%
ringgear;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,48%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,45%;0,66%;0,00%;0,00%;1,31%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,10%;0,01%;0,05%;1,31%;0,00%;0,02%;0,39%;0,00%;0,00%;0,02%;2,88%;0,00%;0,00%;0,00%;0,00%;0,00%;2,25%;0,00%;2,29%;0,00%;0,00%;0,00%;0,32%;0,23%;0,00%;0,00%;0,00%;0,00%;1,56%;0,00%;0,00%;0,00%;0,00%;0,00%;6,67%;1,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,09%;0,00%;0,00%;0,01%
fluid;0,00%;0,10%;0,00%;0,09%;0,09%;0,00%;4,89%;0,03%;0,76%;0,01%;0,51%;0,00%;1,50%;0,63%;0,00%;0,00%;8,73%;0,00%;0,04%;0,06%;0,00%;2,19%;0,00%;0,01%;0,00%;0,00%;0,00%;0,11%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,49%;0,00%;0,60%;0,00%;0,91%;0,00%;0,00%;0,00%;0,03%;0,00%;0,37%;0,00%;0,00%;0,02%;0,00%;0,00%;0,04%;2,86%;0,00%;0,00%;0,00%;0,83%;1,50%;1,58%;2,95%;0,00%;0,00%;0,00%;0,33%;7,13%;0,06%;12,14%;1,90%;5,21%;0,00%;0,00%;0,50%;0,03%;7,44%;10,10%;0,00%;0,00%;0,20%;0,00%;0,00%;0,00%;4,80%;0,01%;0,00%
plurality;1,95%;3,73%;0,44%;0,29%;0,03%;0,00%;3,66%;0,01%;2,22%;1,01%;0,05%;0,69%;0,03%;0,15%;0,00%;0,90%;1,37%;0,18%;0,15%;0,06%;2,46%;0,48%;0,19%;0,44%;0,56%;0,04%;1,47%;1,27%;0,17%;0,28%;0,00%;26,24%;0,83%;0,22%;1,37%;1,01%;0,00%;0,00%;0,00%;1,00%;0,01%;0,29%;1,42%;0,86%;0,06%;0,81%;0,35%;0,54%;0,10%;0,67%;0,98%;0,21%;1,12%;0,08%;0,09%;0,03%;0,01%;0,03%;0,24%;0,72%;0,07%;0,07%;0,00%;0,02%;2,22%;0,05%;1,53%;0,15%;2,05%;1,73%;0,68%;0,48%;0,04%;0,80%;0,00%;0,00%;1,76%;0,00%;0,31%;0,00%;0,68%;0,18%;0,60%
carrier;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,04%;0,00%;0,00%;0,03%;0,00%;0,01%;0,00%;0,31%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;1,74%;0,54%;0,00%;2,15%;0,75%;0,02%;0,06%;0,00%;0,00%;2,90%;0,00%;0,11%;0,00%;2,51%;0,00%;0,00%;0,00%;0,00%;0,17%;0,00%;0,00%;0,00%;0,00%;2,61%;0,00%;0,00%;0,00%;0,00%;0,00%;6,30%;0,74%;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,13%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,73%;0,00%;0,00%;0,00%
engine;0,02%;0,00%;0,17%;0,01%;0,06%;0,00%;0,11%;0,00%;0,02%;1,71%;0,14%;4,74%;0,41%;0,55%;7,50%;1,43%;0,02%;0,02%;0,26%;0,00%;0,03%;0,00%;0,00%;0,13%;0,00%;0,69%;1,97%;1,90%;0,00%;2,11%;0,58%;0,34%;6,02%;0,02%;0,58%;0,11%;0,00%;0,21%;0,14%;0,00%;6,93%;0,21%;0,19%;0,00%;1,36%;1,36%;0,00%;0,00%;2,43%;0,25%;0,10%;0,25%;0,62%;0,19%;1,99%;0,10%;4,27%;0,39%;0,00%;0,00%;3,42%;5,38%;0,00%;0,83%;0,27%;0,23%;0,00%;0,38%;0,00%;0,00%;0,00%;0,01%;1,03%;0,03%;0,00%;0,63%;0,17%;0,00%;0,14%;0,31%;0,00%;3,51%;0,00%
torquetransmit;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;2,89%;0,00%;0,06%;0,02%;0,00%;0,00%;0,00%;0,00%;2,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;11,85%;0,00%;0,00%;0,00%;0,00%;0,00%;0,52%;2,71%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%
stationary;0,00%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,91%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,54%;0,02%;0,00%;0,00%;0,00%;0,10%;0,39%;0,00%;0,16%;0,05%;0,00%;0,00%;0,00%;0,66%;0,85%;0,03%;0,96%;0,00%;0,00%;0,00%;0,07%;0,00%;0,94%;0,00%;0,00%;0,00%;0,00%;2,49%;0,00%;2,45%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,58%;0,01%;0,00%;1,00%;0,00%;0,00%;0,00%;0,23%;0,00%;1,36%;1,37%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,00%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,19%;0,00%;0,26%;0,00%;0,08%;0,00%;0,00%;0,00%;0,01%
house;0,04%;0,45%;0,00%;0,00%;0,00%;0,01%;2,44%;0,21%;0,00%;0,00%;0,04%;0,00%;0,33%;0,00%;0,00%;0,02%;0,00%;0,31%;0,41%;1,41%;0,77%;0,15%;0,39%;0,94%;0,12%;0,19%;0,00%;0,00%;0,00%;0,00%;0,00%;3,01%;0,00%;14,42%;0,12%;2,80%;2,43%;0,01%;1,40%;0,00%;0,00%;0,15%;0,00%;0,31%;0,00%;0,00%;0,00%;9,04%;0,13%;3,76%;1,31%;0,73%;0,00%;0,31%;0,00%;0,01%;0,00%;2,15%;1,02%;0,00%;0,00%;0,02%;0,05%;0,19%;0,00%;0,08%;0,84%;0,00%;0,62%;0,00%;0,15%;0,95%;0,00%;1,99%;0,00%;0,00%;0,00%;2,19%;0,00%;0,00%;0,00%;0,04%;0,05%
position;0,00%;0,36%;0,04%;0,50%;1,58%;5,49%;0,03%;0,01%;1,69%;0,00%;0,19%;0,02%;0,12%;0,01%;0,00%;0,55%;1,15%;3,96%;8,59%;0,96%;4,42%;1,32%;8,43%;0,60%;0,38%;0,00%;0,04%;0,52%;0,00%;0,01%;0,10%;0,00%;0,18%;0,00%;0,96%;0,00%;0,88%;0,00%;0,00%;1,27%;0,09%;0,04%;0,23%;0,00%;0,01%;6,76%;0,05%;0,16%;3,02%;0,00%;0,36%;0,00%;0,03%;0,01%;0,83%;0,28%;0,07%;5,62%;0,02%;0,54%;0,03%;0,89%;0,00%;1,19%;1,35%;0,00%;0,87%;3,77%;0,00%;0,00%;0,00%;1,20%;3,24%;2,63%;1,46%;0,43%;0,44%;0,00%;0,00%;0,00%;3,58%;0,00%;0,00%
rotation;0,15%;0,01%;0,00%;0,03%;0,00%;0,00%;0,00%;4,44%;0,00%;0,00%;2,94%;0,00%;0,00%;0,00%;0,00%;0,62%;0,00%;0,88%;0,55%;0,00%;0,04%;0,00%;0,13%;0,19%;0,15%;0,26%;0,00%;0,14%;3,68%;0,01%;0,71%;0,05%;0,00%;0,00%;0,00%;0,00%;1,02%;0,00%;0,00%;0,70%;0,00%;0,36%;0,00%;0,10%;0,01%;0,00%;0,00%;0,02%;0,14%;2,02%;1,74%;0,00%;0,00%;3,39%;0,00%;0,23%;0,00%;0,07%;0,37%;3,27%;3,37%;0,58%;0,00%;0,04%;0,00%;0,00%;1,69%;0,00%;0,00%;4,04%;0,02%;0,61%;0,00%;0,00%;0,00%;0,84%;0,00%;0,23%;1,98%;1,81%;0,00%;0,00%;0,03%
system;0,15%;0,00%;0,18%;1,43%;0,88%;1,00%;0,13%;0,00%;1,08%;0,18%;0,75%;1,40%;0,00%;2,13%;0,00%;0,09%;2,63%;1,86%;0,00%;1,22%;0,01%;0,00%;0,07%;0,24%;0,12%;0,02%;3,42%;0,05%;2,40%;1,05%;0,00%;0,00%;0,49%;0,00%;0,57%;0,00%;0,34%;0,86%;0,10%;0,13%;2,81%;0,00%;0,70%;0,00%;1,45%;6,55%;0,00%;0,00%;0,20%;0,00%;0,03%;1,72%;1,94%;0,00%;1,09%;0,14%;1,47%;0,29%;0,17%;0,00%;0,00%;3,16%;0,27%;1,55%;0,00%;2,20%;0,01%;0,56%;0,00%;0,00%;0,00%;0,06%;3,15%;0,06%;0,00%;0,84%;1,08%;0,00%;0,00%;0,08%;2,86%;0,14%;0,00%
dispose;0,50%;0,05%;0,00%;0,77%;0,58%;0,00%;0,45%;0,20%;0,00%;0,09%;0,25%;0,00%;0,98%;0,00%;0,00%;1,25%;0,15%;0,09%;2,95%;1,12%;1,20%;0,54%;2,44%;2,98%;0,00%;0,03%;0,04%;0,00%;0,00%;0,01%;0,00%;1,89%;0,00%;0,00%;4,72%;4,93%;1,07%;0,00%;0,33%;1,27%;0,00%;0,00%;0,00%;0,07%;0,09%;0,00%;0,01%;3,86%;0,46%;0,30%;3,00%;1,57%;0,00%;0,00%;0,00%;0,39%;0,01%;0,03%;3,04%;0,06%;0,00%;0,31%;0,71%;0,11%;0,64%;0,15%;1,32%;0,00%;0,45%;0,00%;3,13%;0,45%;0,80%;1,56%;0,00%;0,00%;0,03%;0,06%;1,49%;0,16%;0,27%;0,00%;0,00%
drive;6,06%;0,00%;0,40%;0,00%;0,00%;0,02%;0,00%;1,19%;2,39%;0,00%;0,02%;0,00%;0,00%;0,00%;2,74%;2,29%;0,24%;1,53%;0,00%;0,03%;0,18%;0,00%;0,06%;27,51%;1,03%;0,26%;0,89%;0,42%;0,21%;0,02%;0,01%;0,22%;0,17%;0,01%;0,35%;0,39%;0,05%;0,04%;0,00%;0,00%;0,00%;0,01%;0,41%;0,00%;0,00%;0,44%;0,36%;0,00%;0,13%;0,05%;0,03%;0,10%;0,02%;0,01%;0,00%;2,91%;0,03%;0,14%;0,00%;0,00%;0,18%;7,64%;0,00%;0,09%;0,00%;0,00%;0,16%;0,00%;0,51%;0,05%;0,00%;0,00%;0,14%;0,00%;0,00%;0,38%;0,00%;0,06%;0,00%;0,93%;0,04%;0,28%;0,16%
hydraulic;0,01%;0,22%;0,01%;0,00%;0,00%;0,00%;0,93%;0,00%;1,70%;0,02%;0,00%;0,00%;0,06%;7,14%;0,00%;0,00%;5,02%;0,00%;0,92%;0,03%;0,02%;0,40%;0,00%;0,39%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,42%;0,00%;0,00%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,34%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,42%;0,00%;0,00%;0,01%;0,15%;0,75%;1,67%;0,00%;0,00%;0,00%;0,29%;0,00%;1,03%;0,00%;0,66%;0,12%;0,00%;0,01%;0,00%;0,00%;0,01%;8,97%;0,08%;0,00%;0,00%;0,15%;0,00%;0,00%;0,01%;3,47%;0,01%;0,00%
pressure;0,12%;0,00%;0,74%;0,00%;0,45%;0,00%;0,02%;0,00%;0,09%;0,06%;0,00%;0,06%;0,00%;22,70%;0,00%;0,00%;3,01%;0,00%;0,20%;0,00%;0,00%;1,32%;0,00%;0,00%;0,01%;0,00%;0,00%;0,17%;0,00%;0,00%;0,00%;0,00%;0,25%;0,00%;0,00%;0,00%;0,10%;0,00%;0,00%;0,00%;0,03%;0,00%;0,17%;0,00%;0,06%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;2,02%;0,15%;0,04%;0,35%;0,00%;0,00%;0,00%;0,00%;0,00%;8,46%;0,00%;0,01%;0,20%;3,35%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,00%;0,00%;3,46%;0,00%;0,00%;0,00%;1,71%;0,96%;0,00%
method;0,27%;1,53%;2,21%;0,00%;0,30%;4,53%;0,00%;0,00%;0,00%;1,28%;0,00%;1,80%;0,74%;3,23%;0,00%;0,01%;0,10%;0,12%;0,00%;0,01%;0,04%;0,27%;0,04%;0,00%;0,29%;1,09%;1,88%;1,46%;0,30%;1,76%;0,00%;0,04%;1,51%;0,16%;0,00%;0,00%;0,04%;0,54%;0,17%;0,97%;4,21%;0,00%;0,78%;0,00%;1,18%;1,38%;2,44%;0,12%;0,04%;0,00%;0,00%;0,05%;2,71%;0,00%;1,68%;0,36%;2,96%;0,82%;0,01%;0,00%;0,07%;0,34%;0,00%;1,02%;0,00%;1,55%;0,00%;3,68%;0,00%;0,00%;0,17%;0,63%;0,00%;0,03%;0,27%;2,07%;1,87%;1,14%;0,01%;0,02%;0,00%;1,84%;0,00%
transfer;0,01%;0,03%;0,00%;0,00%;0,12%;0,00%;0,00%;11,39%;0,00%;0,00%;0,00%;0,18%;1,66%;0,20%;0,00%;0,85%;0,00%;0,19%;0,00%;0,06%;0,00%;0,10%;0,00%;0,30%;0,00%;0,98%;0,04%;0,01%;0,00%;0,18%;2,58%;0,00%;0,08%;0,00%;0,00%;1,64%;0,00%;0,00%;0,00%;0,00%;0,02%;0,01%;0,34%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;1,43%;0,01%;1,12%;0,16%;0,00%;0,00%;0,17%;0,05%;0,00%;0,05%;0,00%;0,00%;0,00%;0,23%;0,00%;0,00%;0,00%;0,02%;0,00%;0,01%;5,43%;0,03%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,48%;0,21%
mode;0,00%;0,00%;0,49%;0,00%;0,00%;1,06%;0,00%;0,02%;0,68%;0,00%;0,00%;0,00%;0,00%;0,21%;1,44%;0,06%;0,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;1,53%;0,09%;0,00%;0,22%;2,78%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,20%;0,00%;2,68%;0,00%;0,05%;0,38%;9,69%;0,00%;0,67%;0,00%;0,00%;0,00%;0,37%;0,01%;3,22%;0,00%;0,02%;0,00%;0,00%;0,00%;6,34%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,02%;0,06%;0,00%;0,00%;2,06%;0,61%;0,00%;0,00%
couple;0,34%;1,94%;0,35%;0,19%;0,00%;0,00%;0,12%;1,25%;0,10%;0,00%;0,15%;0,11%;0,00%;0,27%;0,00%;2,22%;0,00%;1,69%;0,00%;0,98%;1,08%;0,02%;0,39%;1,60%;0,00%;0,19%;1,47%;0,00%;3,55%;1,11%;0,00%;0,57%;0,00%;0,00%;1,74%;2,06%;0,00%;0,00%;0,00%;0,00%;0,12%;0,00%;1,58%;0,23%;0,16%;0,00%;0,00%;1,12%;1,89%;0,29%;0,53%;0,53%;0,47%;0,00%;0,14%;0,00%;0,95%;0,38%;0,00%;0,00%;0,00%;0,66%;0,54%;0,00%;0,55%;0,00%;0,03%;0,00%;2,99%;0,04%;0,00%;0,37%;0,01%;0,00%;0,00%;0,00%;0,27%;0,66%;4,47%;0,16%;0,20%;0,95%;0,38%
configure;0,59%;0,54%;0,09%;0,03%;1,60%;0,00%;0,00%;2,65%;0,60%;0,07%;0,75%;0,84%;0,57%;0,18%;0,40%;0,07%;0,67%;0,07%;0,13%;0,87%;0,02%;0,00%;1,38%;0,25%;0,50%;0,25%;0,60%;0,77%;5,69%;1,89%;0,00%;0,31%;0,54%;2,54%;1,84%;0,35%;1,51%;2,10%;1,73%;0,38%;0,01%;0,01%;0,01%;0,01%;0,53%;1,87%;0,00%;0,52%;0,00%;0,93%;1,29%;2,16%;1,50%;0,01%;0,68%;1,63%;0,04%;0,00%;0,50%;0,00%;0,24%;0,32%;0,20%;0,81%;0,00%;0,95%;0,84%;0,99%;0,03%;0,00%;0,23%;0,27%;0,01%;3,31%;0,00%;0,15%;1,78%;2,96%;0,04%;0,03%;0,07%;0,32%;0,00%
shaft;1,92%;0,12%;0,00%;0,00%;0,00%;0,01%;0,43%;2,82%;0,00%;0,10%;0,25%;0,00%;0,00%;0,00%;0,00%;2,17%;0,00%;0,00%;0,01%;0,05%;0,01%;0,00%;1,26%;0,54%;0,01%;2,32%;0,00%;0,00%;0,00%;0,00%;0,00%;3,13%;0,01%;0,48%;2,82%;0,01%;0,19%;0,00%;0,00%;2,25%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,11%;0,00%;0,50%;0,00%;0,37%;0,00%;0,00%;0,00%;0,03%;0,02%;0,00%;0,24%;0,21%;0,00%;0,00%;0,21%;0,00%;0,00%;0,00%;0,21%;0,16%;0,02%;2,92%;1,61%;34,47%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,41%
countershaft;0,00%;0,00%;0,00%;0,00%;0,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,20%;0,00%;0,00%;0,00%;0,00%;0,16%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,56%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,39%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,60%
forward;0,00%;0,02%;0,00%;0,00%;0,50%;0,00%;0,01%;0,00%;0,69%;0,16%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,40%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;1,14%;0,00%;0,00%;0,00%;0,00%;0,21%;0,00%;0,00%;0,00%;0,00%;0,03%;1,42%;0,03%;0,98%;0,00%;0,08%;0,00%;0,00%;0,00%;0,61%;0,00%;0,00%;0,00%;2,63%;0,00%;1,12%;0,00%;0,00%;0,00%;0,26%;0,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,18%;0,00%;0,00%;0,00%;0,12%;0,04%;0,00%;0,00%;0,02%;0,00%;0,07%;0,00%;0,01%;0,00%;1,03%
shift;0,00%;0,18%;0,83%;0,00%;0,04%;2,48%;0,00%;0,00%;0,00%;0,67%;0,00%;0,06%;0,00%;0,00%;0,00%;0,03%;0,03%;0,05%;0,00%;0,11%;4,87%;0,00%;6,77%;0,00%;0,05%;0,00%;0,09%;1,62%;0,00%;0,10%;0,00%;0,00%;0,32%;0,00%;0,73%;0,00%;0,80%;0,00%;0,01%;0,00%;0,46%;0,01%;0,58%;0,00%;0,00%;2,00%;25,13%;0,00%;0,07%;0,00%;0,00%;0,00%;0,00%;0,00%;0,29%;0,01%;0,00%;0,30%;3,09%;0,27%;0,08%;0,00%;0,00%;0,25%;0,00%;0,12%;0,00%;0,39%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,21%;4,13%;0,00%
reverse;0,00%;0,02%;0,04%;0,00%;0,22%;0,84%;0,04%;0,00%;2,57%;0,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,13%;0,00%;0,00%;0,00%;0,02%;0,00%;1,14%;0,00%;0,00%;0,00%;0,00%;0,12%;0,00%;0,00%;1,70%;0,00%;0,00%;0,00%;0,00%;0,25%;0,00%;0,00%;0,00%;0,00%;0,00%;1,13%;0,62%;0,86%;0,00%;0,47%;0,00%;0,00%;0,00%;0,70%;0,00%;0,00%;0,00%;1,20%;0,00%;0,83%;0,00%;0,00%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,00%;0,00%;0,00%;0,13%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,11%;0,00%;1,66%
engage;0,21%;0,25%;0,01%;0,26%;0,00%;0,00%;0,00%;0,58%;1,27%;1,32%;0,05%;0,11%;0,21%;0,00%;2,02%;2,16%;0,62%;0,04%;4,21%;0,81%;0,64%;2,45%;2,03%;0,13%;0,42%;0,00%;0,02%;0,21%;0,44%;0,17%;0,20%;1,59%;0,43%;0,12%;2,97%;0,00%;0,13%;0,05%;0,68%;0,69%;0,01%;0,96%;0,07%;0,01%;0,00%;0,00%;1,09%;0,24%;0,11%;0,52%;1,15%;1,72%;0,04%;1,19%;0,00%;2,23%;0,10%;0,06%;0,50%;0,00%;1,54%;0,89%;0,19%;0,03%;0,00%;0,00%;0,48%;0,00%;0,15%;0,00%;0,00%;0,11%;0,12%;0,00%;0,00%;0,00%;0,45%;3,84%;0,35%;0,00%;0,11%;0,52%;0,00%
vehicle;0,22%;0,20%;0,51%;1,38%;0,37%;1,94%;0,00%;0,58%;0,01%;1,89%;0,47%;1,03%;0,89%;0,40%;2,10%;0,15%;0,01%;1,49%;0,90%;0,54%;0,01%;0,00%;0,00%;0,22%;0,12%;1,69%;0,90%;5,75%;0,24%;3,59%;0,00%;0,35%;0,73%;0,08%;0,98%;0,05%;0,00%;1,78%;0,10%;1,14%;3,04%;0,00%;0,23%;0,00%;0,24%;3,34%;0,00%;0,24%;0,85%;0,00%;0,02%;0,00%;2,41%;0,00%;0,00%;0,36%;0,07%;0,40%;0,38%;0,00%;0,12%;0,00%;0,00%;0,11%;0,50%;2,23%;0,14%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,13%;0,65%;1,98%;0,70%;0,19%;0,00%;0,03%;0,00%;0,17%;0,00%
